Approved Release [PMO Only],Intercepting Testing Cycle,Change ID (AC),Approved/Denied,Next Steps,Program Scope,Requested Releases,"Priority (Very High, High, Medium, Low)",Requestor Team*,Requestor Sub-team*,Logistics?,Impacted Towers/Horizontals (Multiple Selection),Change Request Owner,Change Request IT Owner For The Function,Project Manager,Related Open Design Topic,Related CR,Related Risk/Issue [RAID #],Related KDD [RAID #],ServiceNow Reference,ServiceNow Delivery Status,B-App IAPM ID,B-App IAPM Name,Special Projects,Change Title*,Change Description,Rationale for the Change,Impact to Schedule,Ready for PMO Review?,Core vs Non-Core Functionality,Link to Approval Email,Link to Change Request Review Deck,CR Category,Type of Change [For Program Releases - R1-R5],Impacted L3's,Will have BPM Standards (BIC/WIKI) Updates?,Complexity,Technical Effort Estimation,Design Complexity Value,Dollar Impact (US Design Hours),Dollar Impact ($),Functional Effort,CDI Tech Effort [SCP Build],PDH Tech Effort [SCP Build] hrs,BY Tech Effort [SCP Build] hrs,ECA Tech Effort [SCP Build] hrs,Config Effort [ERP Build],Tech Effort [ERP Build],ECA Effort [ERP Build],Data Migration [ERP Build],Security Effort [ERP Build],BApps Tech Effort,Total SCP Tech Effort,Total ERP Tech Effort,ERP Dev Team [For Build CR's Only],Added/Pushed Object ID's?,Dev Team of New Object,Count of New Objects,Added Object ID's,RICEFW Console ID,S4 Object Tracker,Count of New S4 Objects,Deloitte ECA,Count of New Deloitte ECA Objects,Intel ECA,Count of New Intel ECA Objects,Count of New ECA Objects,SCP - RICEFW,Count of SCP RICEFW,SCP - PDH,Count of SCP - PDH,Count of New SCP Objects,Changed Build Objects,Count of Changed Objects,Changed S4 RICEFW's,Count of Changed S4,Changed ECA ID's,Count of Changed ECA,Changed SCP ID's,Count of Changed SCP,Descoped RICEFW ID's,Replacement Object,Planned FUT Complete date,Count of Descoped RICEFW's,Change Status,Need Core Leadership approval? [PMO],Need MRC Approval? [PMO],Review Date with Change Ingestion,Notes from Change Ingestion,2nd Review Date with CCB,Notes from 2nd CCB Review,Actual Review Date with CL [Stage 1],Notes from Core Leadership Review [Stage 1],Actual Review Date with CL [Stage 2],Notes from Core Leadership Review [Stage 2],Review Date with MRC,Notes From MRC Review,Comments for Rejection/Deferral,Design vs Build,Approval Level,Leadership Approval Date,Month of Approval,Final Month of Approval,Month of Creation,Creation Date,Days Open,Aging,Created By,Reconciliation Done?,For Future Release?,Completion Status (Build CR),Completion Status (Object ID),Completion Status (Manual),Overall Completion,Added to Build CR Tracker,Applicable for R4
,,INT-CR1734,New,,ERP,R2 Hypercare,High,04. OTC IF,4.8 OTC IF - EWM,Yes,04. OTC IF,junior.milan@intel.com,OTC — Kevin Brown,OTC IF - Angela Laskowski,,INT-CR0550,NA,NA,,,,,,Copy Text Information From Delivery line Item To Shipping Label,Copy new text information (End Customer PO) from Outbound delivery line item to shipping labels.,Customer requirement request(s).,NA,No,Non-Core,,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/01.%20PMO/05.%20Scope%20and%20Change%20Control/Change%20Control/Change%20Request%20Decks/OTC/INT-CRXXXX.pptx?d=w39c47839e4284fc088684f01cc2da576&csf=1&web=1&e=5SGEzd,,4. Change to Existing RICEFW / ECA/ Build Object,,No,,High,0.0,,,,,,,,,,,,,,0.0,0.0,N/A,,,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,,,,,,0.0,00. Identified,,,,,,,,,,,,,,Build,Not Assigned,,Not Approved,#INVALID OPERATION,"02, 2026",2026-02-23 00:00:00,44.0,> 30 Days,web-form@smartsheet.com,,No,,,,N/A,No,
R3 (Feb 2027),R3 ITC1*,INT-CR1735,Approved,,SCP,R3 (Release 3),Medium,08. FTS IP,8.9 FTS IP - IP Demand Planning,,08. FTS IP,joseph.t.chen@intel.com,FTS (SCP IP & OP) — Chad Smith,FTS IP - Loni Adams,,na,na,na,,,,,,2DN enhancement: Forecast cannot be tied to a xdock location,"BY-CDP:
Both nodes and billing/backlog will be created at the xDock in accordance with the 2DN design.
Ensure the final CD Qty Pub is NOT assigned to an xDock location.
Ensure billing and backlog loaded at the xDock are visible to demand planners during forecast entry.

Option 1: Enhance the disaggregation logic to exclude all disaggregation drivers at the xDock location (e.g., backlog, customer/sales forecast, statistical forecast).

Option 2: Expire all nodes associated with the xDock location, while keeping measures loaded at the xDock visible to demand planners during forecast entry.","Demand follows revenue, and revenue is generated only from SO1 (xDock → Customer). SO2 (CW → xDock) is excluded from the transactional data feed to avoid double counting. 

As a result, nodes are created at the xDock and forecasts are disaggregated to the xDock. However, all downstream systems (FNE, ESP, OP) expect forecasts to be associated with a CW location. The ask is to identify a solution in CDP that ensures forecasts remain associated only with the CW location.",tbd,No,Core,,https://intel.sharepoint.com/:p:/r/sites/intelspinnakerdeloitteiao/Shared%20Documents/IP%20Demand%20Planning/3.%20Execution/CCB/IP%20DP%20CR1735%20-%202DN%20Forecast%20not%20assigned%20at%20xDock.pptx?d=w9bf475dc825d4781bf3a6c57615a451a&csf=1&web=1&e=D0BuMw,,1. Process Scope / Design Change,,Maybe,,Medium,0.0,,,,40.0,40.0,,,,,,,,,80.0,0.0,N/A,No,,0.0,TBD,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,,,,,,0.0,10. OSC/CL Approved (end status),Yes,No,2026-03-26 00:00:00,,,,2026-03-27 00:00:00,,,,,,,Design,CL/OSC,2026-03-27 00:00:00,"03, 2026","03, 2026","02, 2026",2026-02-24 00:00:00,0.0,< 15 Days,web-form@smartsheet.com,,No,,,,In Progress,No,
R3 (Feb 2027),R3 ITC2,INT-CR1737,Approved,,ERP,R3 (Release 3),Medium,05. OTC IP,5.8 OTC IP - EWM,Yes,05. OTC IP,Surendra Julury,OTC — Kevin Brown,,,,,,,,,,,Purging Docking files older than 180 days,Docking process saves images on the file system in EWM system. They need to get deleted on an ongoing basis. Any file that is older than 180 days need to get deleted to maintain the File system's performance.,Docking process saves images on the file system in EWM system. They need to get deleted on an ongoing basis. Any file that is older than 180 days need to get deleted to maintain the File system's performance.,,No,Core,,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/05.%20OTC%20-%20Intel%20Products/4%20Working%20Documents/IP%20Returns-EWM/CRs/INT-CR1737%20Purging%20Docking%20files%20older%20than%20180%20days.pptx?d=we7873ae41b644c29b840af17c2b0811e&csf=1&web=1&e=mEd5cr,New Requirement / Scope,4. Change to Existing RICEFW / ECA/ Build Object,,,,,0.0,,,,,,,,,54.0,,,,,0.0,54.0,Tech - S/4,No,,0.0,N/A,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,LOGE1277,1.0,,,,,,,2026-05-18 00:00:00,0.0,10. OSC/CL Approved (end status),Yes,No,2026-03-05 00:00:00,,,,2026-03-06 00:00:00,,,,,,,Build,CL/OSC,2026-03-06 00:00:00,"03, 2026","03, 2026","02, 2026",2026-02-24 00:00:00,0.0,< 15 Days,sjulury@deloitte.com,,No,Dev Not Started,,,In Progress,Yes,
,,INT-CR1736,New,,SCP,R3 (Release 3),Medium,08. FTS IP,8.8 FTS IP - IP R2 Supply Planning,,08. FTS IP,joseph.t.chen@intel.com,FTS (SCP IP & OP) — Chad Smith,FTS IP - Loni Adams,,na,na,na,,,,,,DemandProductGrp feed,"​To enable demand-mix what-if scenario planning in BY-IBP, it is essential that both S&OP and Demand stakeholders operate with a consistent demand product hierarchy and common terminology. 

Currently, CDP (Demand) leverages a localized demand product hierarchy, where Level 3 DemandProductGrp is dynamically generated within DP-PDH.

The request is to integrate DemandProductGrp from DP-PDH into SP-PDH and subsequently into IBP, where it will be modeled as a product attribute within BY-IBP (D360) to support aligned planning and scenario analysis. 

select distinct ITEM_ID, DMD_PROD_CD, DMD_PROD_GRP, DMD_PROD_GRP_ACTIVE from SUPPLY_CHAIN.PDH_COMMON_XFRM.V_BRD_ITEM_CORE_PIT where DMD_PROD_GRP_ACTIVE  = 'Y';","Medium, to allow S&OP to perform demand-mix what-if in BY-IBP.",tbd,No,Core,,https://intel.sharepoint.com/:p:/r/sites/intelspinnakerdeloitteiao/Shared%20Documents/IP%20Demand%20Planning/3.%20Execution/CCB/IP%20SP%20CR1736%20-%20DemandProductGroup%20feed.pptx?d=w3309ad86ed8b495a828cb8f4a7a35d31&csf=1&web=1&e=sooRqu,,1. Process Scope / Design Change,,Maybe,,Medium,0.0,,,,,,,,,,,,,,0.0,0.0,N/A,,,0.0,TBD,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,,,,,,0.0,00. Identified,,,,,,,,,,,,,,Design,Not Assigned,,Not Approved,#INVALID OPERATION,"02, 2026",2026-02-24 00:00:00,43.0,> 30 Days,web-form@smartsheet.com,,No,,,,N/A,No,
,,INT-CR1738,Rejected,,ERP,R3 (Release 3),High,04. OTC IF,4.10 OTC IF - Logistics Management Outbound,Yes,"02. E2E Process Integration
04. OTC IF
05. OTC IP
06. PTP
07. FTS IF
09A. Master Data
10. Analytics
11. Technology
14. OCM
16. Testing
17. B-App
18. SCP",Shishir Kumar Dwivedi,OTC — Kevin Brown,OTC IF - Angela Laskowski,,,,,,,,,,Enabling multiple shipment per SO line item,"This change request covers two key business requirements:
Enabling multiple shipments per line item esp. for IP as customer
Business process change to ensure CMIR records are updated without complete delivery indicator and over/under delivery tolerance is updated as per customer needs
Interface to PDH change to include complete confirmation regardless of SO complete delivery indicator
Ensure R3 batch processes correct sequencing/timing to support E2E fulfillment process

Updating Sales Orders after Delivery creation based on R3 POLP table
Refer new POLP table in R3 instead of Market Code to determine items relevant for POLP
Ensure the quantity update on Sales Order happens only after Final Delivery is created for give line item, Quantity is determined based on all deliveries created per line item
Enable quantity update on SO for over delivery scenario after final delivery creation",,,No,Core,,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/_layouts/15/Doc.aspx?sourcedoc=%7BEFEBF370-3945-46D7-95D3-A3624441AD8C%7D&file=OTC%20-%20Enabling%20Multiple%20Shipments%20Per%20SO%20Line%20Item%20-%20Draft.pptx&wdLOR=c89A39E88-AE24-4B43-94B5-3E6D8E602F5E&action=edit&mobileredirect=true,New Requirement / Scope,4. Change to Existing RICEFW / ECA/ Build Object,,,Medium,Medium,2.0,,,,,,,,,,,,,,0.0,0.0,N/A,,,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,,,,,,0.0,11. OSC/CL Rejected (end status),Yes,No,2026-03-05 00:00:00,,,,2026-03-06 00:00:00,"CR1738 Not Approved. ARs required for CR resubmission: End to End Impact Review (IP/IF/Planning), Fully Identify and Tie Out B-App Impacts, Update and Finalize the Effort Estimate, Confirm IP Readiness for Partial Receipts and Netting Logic, Validate Cross Team Alignment.",,,,,,Build,CL/OSC,2026-03-06 00:00:00,"03, 2026","03, 2026","02, 2026",2026-02-24 00:00:00,0.0,< 15 Days,shisdwivedi@deloitte.com,,No,,,,N/A,No,
R3 (Feb 2027),R3 ITC2,INT-CR1739,Approved,,ERP,R3 (Release 3),High,08. FTS IP,8.5 FTS IP - Manufacturing,,"08. FTS IP
11. Technology
12. Infrastructure",Sekhar Lingam,FTS (ERP) — Stef Maxey,FTS IP - Loni Adams,,,,,,Open,,,,Change Request for change in design architecture requirement for Reporting Scrap of Semi Finished Goods at IF manufacturing location interface FTSI1693​,"Change Request for change in design architecture requirement for Reporting Scrap of Semi Finished Goods at IF manufacturing location interface FTSI1693​

FTSI1693:​

As per the current approach, there is an issue where data filtered to IP-owned inventory is sent from IF ECA to IP ECA, and the same data is duplicated when moving from IF FTS Inventory to IP FTS Inventory .​

To support the business requirement for accurate scrap reporting in IP S/4, the new design approach will eliminate middleware and post scrap using the SFT route. In this design, the ECA team will place files in a shared folder, and an SAP program will read the files from the shared folder via SFT and post scrap in the IP S/4 system.​

​

The data exchange will be facilitated using ​​

 IF straddle locations- CIBRIF ECA(reuse); IF ECA to Shared folder :SFT  I IP S4( New)​

​

For error handling via this interface send consolidated error record file to PDL as an attachment. ​

After posting records in IP S/4, store the successful record files in the shared folder.​","Change Request for change in design architecture requirement for Reporting Scrap of Semi Finished Goods at IF manufacturing location interface FTSI1693​

FTSI1693:​

As per the current approach, there is an issue where data filtered to IP-owned inventory is sent from IF ECA to IP ECA, and the same data is duplicated when moving from IF FTS Inventory to IP FTS Inventory .​

To support the business requirement for accurate scrap reporting in IP S/4, the new design approach will eliminate middleware and post scrap using the SFT route. In this design, the ECA team will place files in a shared folder, and an SAP program will read the files from the shared folder via SFT and post scrap in the IP S/4 system.​

​

The data exchange will be facilitated using ​​

 IF straddle locations- CIBRIF ECA(reuse); IF ECA to Shared folder :SFT  I IP S4( New)​

​

For error handling via this interface send consolidated error record file to PDL as an attachment. ​

After posting records in IP S/4, store the successful record files in the shared folder.​",,No,Core,,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/08.%20FTS%20-%20Intel%20Products/03.%20Final%20Deliverables/Build/IP_RICEFW/Internal%20CR%20Deck/XXXX%20-%20Change%20Request%20for%20change%20in%20design%20architecture%20requirement%20for%20Reporting%20Scrap%20of%20Semi%20Finished%20Goods%20at%20IF%20manufacturing%20location%20interface..pptx?d=wf716c0c2ee18480d9d8f61ee095b0230&csf=1&web=1&e=YhQqXN,New Requirement / Scope,4. Change to Existing RICEFW / ECA/ Build Object,,,,85.0,0.0,,,5.0,,,,,,80.0,,,,,0.0,80.0,Data Migration,No,,0.0,N/A,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,FTSI1693,1.0,,,,,,,2026-06-12 00:00:00,0.0,10. OSC/CL Approved (end status),Yes,No,2026-03-05 00:00:00,,,,2026-03-06 00:00:00,,,,,,,Build,CL/OSC,2026-03-06 00:00:00,"03, 2026","03, 2026","02, 2026",2026-02-24 00:00:00,0.0,< 15 Days,akindore@deloitte.com,,No,Dev Not Started,,,In Progress,Yes,
R3 (Feb 2027),N/A,INT-CR1740,Approved,,ERP,R3 (Release 3),Medium,03. FPR,3.2 FPR - Tax,,03. FPR,tafunk@deloitte.com,"FPR — Sara Cooper, Bharath Paturi, Nidhi Wadhwani",FPR - Aubrey Hinderlider,NA,INT-CR1570,NA,NA,NA,,NA,#INVALID VALUE,,RICEFW Cancellation request for FPRE1722_CFIN and FPRE1723_CFIN,"we plan to cancel the RICEFW object FPRE1722_CFIN and FPRE1723_CFIN, which supports the BRF+ integration with Central Finance (CFIN).
The reason for this cancellation is that BRF+ functional modules will not be needed in the CFIN instances—it will be used only in the IP and IF instances.",The reason for this cancellation is that BRF+ functional modules will not be needed in the CFIN instances—it will be used only in the IP and IF instances.,No impact.,Yes,Non-Core,https://intel.sharepoint.com/:u:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/01.%20PMO/05.%20Scope%20and%20Change%20Control/Change%20Control/CR%20Approval%20Emails/CR1740/FW_%20FPRE1722_CFIN%20and%20FPRE1723_CFIN%20_%20RICEFW%20Cancellation.msg?csf=1&web=1&e=a01ONj,https://intel.sharepoint.com/:u:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/01.%20PMO/05.%20Scope%20and%20Change%20Control/Change%20Control/CR%20Approval%20Emails/_EXT_%20RE_%20FPRE1722_CFIN%20and%20FPRE1723_CFIN%20_%20RICEFW%20Cancellation.msg?csf=1&web=1&e=cY0fVj,Missed Requirement,5. Cancel RICEFW / ECA / Build Object,,No,Low,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,N/A,No,,0.0,N/A,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,N/A,,,0.0,,,,,"FPRE1722_CFIN, FPRE1723_CFIN",N/A,,2.0,04. Tower/Horizontal Approved (end status),No,,2026-03-04 00:00:00,,,,,,,,,,,Other,Tower,2026-03-04 00:00:00,"03, 2026","03, 2026","02, 2026",2026-02-25 00:00:00,0.0,< 15 Days,web-form@smartsheet.com,,No,,,,In Progress,No,
R3 (Feb 2027),R3 ITC2,INT-CR1741,Approved,,ERP,R3 (Release 3),,08. FTS IP,8.5 FTS IP - Manufacturing,,"06. PTP
11. Technology
18. SCP",sunil.k.parida@intel.com,FTS (ERP) — Stef Maxey,FTS IP - Loni Adams,,,,,,,,,,Sub  or Double Bailment for IP for R3,Sub  or Double Bailment for IP for R3,As sub bailment process is implementing in ECC by virtue of that it will be part of R3 Scope for IP,,Yes,,,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/01.%20PMO/05.%20Scope%20and%20Change%20Control/Change%20Control/Change%20Request%20Decks/FTS/R3/CR1741%20-%20Double%20Bailment%20MMG400_R3%20Design.pptx?d=w61ca71c3a2c9426bb69337ee5a93369e&csf=1&web=1&e=yOgFTn,,4. Change to Existing RICEFW / ECA/ Build Object,,,,,0.0,,,,,,,,,40.0,160.0,,,,0.0,200.0,Tech - S/4,No,,0.0,N/A,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,"LOGI0156, LOGE0952, LOGI0267",3.0,,,,,,,2026-05-06 00:00:00,0.0,10. OSC/CL Approved (end status),Yes,No,2026-02-26 00:00:00,,,,2026-02-27 00:00:00,,,,,,,Build,CL/OSC,2026-02-27 00:00:00,"02, 2026","02, 2026","02, 2026",2026-02-25 00:00:00,0.0,< 15 Days,anntam@deloitte.com,,No,FS Overdue,,,In Progress,Yes,
R3 (Feb 2027),R3 ITC2,INT-CR1742,Approved,,"Other (Boundary Apps, Data Transformation)",R3 Backlog,Medium,07. FTS IF,7.15 FTS IF - Boundary Apps,,"07. FTS IF
08. FTS IP
15. Cutover
16. Testing",devendra.srivastava@intel.com,FTS (ERP) — Stef Maxey,FTS IF - Haritha Komma,,N/A,"3163, 3600, 3601 & 3605",N/A,,,"59283, 41627",#NO MATCH,,Post Sprint 23 Efforts for PDF SMH IF and IP,Build phase efforts and associated risks that the IP PDF SMH & IF PDF SMH project team will be doing after the end of Sprint 23 (March 6),"IF PDF SMH will have post Sprint 23 build related activities due to low priority development (1 orchestration for retention data to ECA), functional unit testing and upcoming application release testing 

IP PDF SMH will have post Sprint 23 build related activities due to functional unit testing and upcoming application release testing",No IAO schedule changes only IF PDF SMH & IP PDF SMH project schedule impacts (extension of build phase),Yes,Core,,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/01.%20PMO/05.%20Scope%20and%20Change%20Control/Change%20Control/Change%20Request%20Decks/FTS/R3/INT-CR1742%20Post%20Sprint%2023%20Efforts%20for%20PDF%20SMH%20IF%20and%20IP.pptx?d=w02a792cb78844d839c8d7af5befa3188&csf=1&web=1&e=546tg6,,13. Other Milestone Adjustments,,No,,Low,0.0,,,,,,,,,,,,,,0.0,0.0,N/A,No,,0.0,N/A,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,,,,,,0.0,10. OSC/CL Approved (end status),Yes,No,2026-02-26 00:00:00,,,,2026-02-27 00:00:00,,,,,,,Other,CL/OSC,2026-02-27 00:00:00,"02, 2026","02, 2026","02, 2026",2026-02-26 00:00:00,0.0,< 15 Days,web-form@smartsheet.com,,No,,,,In Progress,No,
R2 (Hypercare),R2 Hypercare,INT-CR1743,Approved,,SCP,R2 Hypercare,High,08. FTS IP,8.2 FTS IP - Business,,08. FTS IP,jeffrey.maclaren@intel.com,FTS (SCP IP & OP) — Chad Smith,FTS IP - Loni Adams,,NA,NA,NA,,,,,,Eff Date Import,Source the Eff/Disc dates in the Production method table externally to BY to prevent date management directly in BY UIs,"Drive data governance upfront for the Eff/Disc dates, versus using the BY Prelim solve to validate the data​

Efficiency of data management by persisting the data externally to prevent master data changes from overriding the data in BY",Required after WW12,Yes,Core,,https://intel.sharepoint.com/:p:/r/sites/TEAMSIntelSpinnakerServices17053-A001/Shared%20Documents/2.1%20Business%20Design/Business%20Readiness%20Opens/Change%20Requests/INT-CRxxxx%20-%20Eff%20Date%20Import.pptx?d=wf2d2ecdf9de74f8aba283cf415aaf156&csf=1&web=1&e=Uli3wY,,1. Process Scope / Design Change,,Maybe,,Medium,0.0,,,,,,40.0,,,,,,,,40.0,0.0,N/A,No,,0.0,TBD,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,,,,,,0.0,04. Tower/Horizontal Approved (end status),No,,2026-03-09 00:00:00,"•	CR1743: Approved, option 1.
o	CR Title: Eff Date Import
o	Change Description: Source the Eff/Disc dates in the Productionmethod table externally to BY to prevent date management directly in BY UIs.
	Option 1: Create an import UI in BY IBP for IBP Production method FE for Eff Date and Disc Date fields, requires manual (excel)  Data Governance (most flexible with multiple updates).",,,,,,,,,,Design,Tower,2026-03-09 00:00:00,"03, 2026","03, 2026","02, 2026",2026-02-26 00:00:00,0.0,< 15 Days,web-form@smartsheet.com,,No,,,,In Progress,No,
R4 (Jul 2027),R4 ITC1,INT-CR1744,Approved,,ERP,R4 (Release 4),High,03. FPR,3.14 FPR - Boundary Apps,,"03. FPR
13. Security
17. B-App",kevin.m.johns@intel.com,"FPR — Sara Cooper, Bharath Paturi, Nidhi Wadhwani",FPR - Aubrey Hinderlider,,INT-CR1682,N/A,N/A,,,,,Federal,R4 Federal Timekeeping Mobile Applications,"create 3 additional capabilities for Intel Federal mobile timekeeping supporting Timesheet Entry, Manage Delegates and Report + Get Help","Intel Federal Requirement: Accurate/daily time reporting is a Federal audit requirement.  Mobile timekeeping provides increased application availability and allows them to enter time with increased accuracy.  
Fiori Based mobile device is not user friendly. Column names are misaligned with the data entry fields. Screen is not rendered to be read on a phone
Design was based on Deloitte Internal timekeeping app and in their process, they created an independent mobile app
Team spent weeks trying to correct the current design and make it usable",No impact to schedule,No,Core,,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/01.%20PMO/05.%20Scope%20and%20Change%20Control/Change%20Control/Change%20Request%20Decks/FPR/INT-CRxxxx%20-%20R4%20Federal%20Timekeeping%20Mobile%20Applications.pptx?d=w851a03771c984ee5b85fab6b4b580571&csf=1&web=1&e=nHiEen,,"1b. Solution Design
2. New RICEFW / ECA / Build Object
6. Build Security-Related Changes",,No,,High,0.0,,,,,,,,,610.0,,,,,0.0,610.0,Tech - Boundary App,Yes,S4,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,"FPRE1560​, FPRE1562​",2.0,,,,,,,2026-10-02 00:00:00,0.0,04. Tower/Horizontal Approved (end status),No,,2026-03-11 00:00:00,Confirmed by Uzma and Stacee to be approved offline,,,,,,,,,,Other,Tower,2026-03-11 00:00:00,"03, 2026","03, 2026","02, 2026",2026-02-26 00:00:00,0.0,< 15 Days,web-form@smartsheet.com,,No,FS Not Started,,,In Progress,Yes,Yes
,,INT-CR1745,New,,ERP,R3 (Release 3),High,05. OTC IP,5.13 OTC IP – Returns (Logistics Management),Yes,"05. OTC IP
11. Technology
13. Security",kimberly.moore@intel.com,OTC — Kevin Brown,OTC IP - Teresa McNicol/Jon Benoist,,N/A,,,,,,,,R3 IP Returns | COO determination for CI/PL outbound,"In case of customer returns, after the receiving and disposition is completed for the returned material, the requirement was to generate Commercial invoice and packing list forms. Country of Origin information was previously required to be printed referencing the EWM tables but now the requirement is to change the logic and print it based on information available in S4","Initially the requirement was to give the user the flexibility to perform receiving in EWM for materials where batch details were unknown by assigning a dummy batch to it and hence manually enter the Country of origin information for such items. Now, trade has raised concerns and  proposed to remove any manual intervention for such items. For such items, the COO information should come out of the latest batch manufactured for that item.",Change to be implemented in ITC2,No,Core,,,,4. Change to Existing RICEFW / ECA/ Build Object,,Yes,,High,0.0,,,,,,,,,,,,,,0.0,0.0,N/A,,,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,,,,,,0.0,00. Identified,,,,,,,,,,,,,,Build,Not Assigned,,Not Approved,#INVALID OPERATION,"02, 2026",2026-02-26 00:00:00,41.0,> 30 Days,brthigpen@deloitte.com,,No,,,,N/A,No,
,,INT-CR1746,Cancelled,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,N/A,,,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,,,,,,0.0,16. Cancelled by Requestor Tower,,,,,,,,,,,,,,,Not Assigned,,Not Approved,#INVALID OPERATION,"02, 2026",2026-02-26 00:00:00,0.0,< 15 Days,brthigpen@deloitte.com,,No,,,,In Progress,No,
,,INT-CR1747,Cancelled,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,N/A,,,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,,,,,,0.0,16. Cancelled by Requestor Tower,,,,,,,,,,,,,,,Not Assigned,,Not Approved,#INVALID OPERATION,"02, 2026",2026-02-26 00:00:00,0.0,< 15 Days,brthigpen@deloitte.com,,No,,,,In Progress,No,
,,INT-CR1748,Cancelled,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,N/A,,,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,,,,,,0.0,16. Cancelled by Requestor Tower,,,,,,,,,,,,,,,Not Assigned,,Not Approved,#INVALID OPERATION,"02, 2026",2026-02-26 00:00:00,0.0,< 15 Days,brthigpen@deloitte.com,,No,,,,In Progress,No,
,,INT-CR1749,Cancelled,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,N/A,,,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,,,,,,0.0,16. Cancelled by Requestor Tower,,,,,,,,,,,,,,,Not Assigned,,Not Approved,#INVALID OPERATION,"02, 2026",2026-02-26 00:00:00,0.0,< 15 Days,brthigpen@deloitte.com,,No,,,,In Progress,No,
,,INT-CR1750,Cancelled,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,N/A,,,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,,,,,,0.0,16. Cancelled by Requestor Tower,,,,,,,,,,,,,,,Not Assigned,,Not Approved,#INVALID OPERATION,"02, 2026",2026-02-26 00:00:00,0.0,< 15 Days,brthigpen@deloitte.com,,No,,,,In Progress,No,
,,INT-CR1751,Cancelled,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,N/A,,,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,,,,,,0.0,16. Cancelled by Requestor Tower,,,,,,,,,,,,,,,Not Assigned,,Not Approved,#INVALID OPERATION,"02, 2026",2026-02-26 00:00:00,0.0,< 15 Days,brthigpen@deloitte.com,,No,,,,In Progress,No,
,,INT-CR1752,Cancelled,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,N/A,,,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,,,,,,0.0,16. Cancelled by Requestor Tower,,,,,,,,,,,,,,,Not Assigned,,Not Approved,#INVALID OPERATION,"02, 2026",2026-02-26 00:00:00,0.0,< 15 Days,brthigpen@deloitte.com,,No,,,,In Progress,No,
